site,impl,n,procs,threads,dist,chunk,sched,sched_chunk,run,total,bcast,comp_max,comp_min,comp_avg,gather,merge,write,count,wall
caas-2node,mpi,1000000,8,1,block,1024,-,0,1,0.031237,0.000031,0.020314,0.007214,0.011680,0.021001,0.000000,0.001549,78498,0.674732
caas-2node,mpi,1000000,8,1,block,1024,-,0,2,0.020023,0.000015,0.013551,0.004490,0.010062,0.012860,0.000000,0.002659,78498,0.672158
caas-2node,mpi,1000000,8,1,block,1024,-,0,3,0.031399,0.000015,0.025962,0.004576,0.011949,0.024889,0.000000,0.001918,78498,0.654538
caas-2node,mpi,1000000,8,1,cyclic,1024,-,0,1,0.025995,0.000016,0.019172,0.009975,0.012378,0.012248,0.001915,0.001813,78498,0.652747
caas-2node,mpi,1000000,8,1,cyclic,1024,-,0,2,0.024722,0.000020,0.017559,0.009974,0.010999,0.010988,0.001854,0.001887,78498,0.667011
caas-2node,mpi,1000000,8,1,cyclic,1024,-,0,3,0.027735,0.000019,0.019649,0.009943,0.012766,0.003267,0.002165,0.002635,78498,0.634592
caas-2node,mpi,1000000,8,1,blockcyclic,1024,-,0,1,0.029236,0.000019,0.010956,0.009937,0.010142,0.016820,0.000561,0.001798,78498,0.645818
caas-2node,mpi,1000000,8,1,blockcyclic,1024,-,0,2,0.024911,0.000019,0.018498,0.009947,0.011117,0.011990,0.000633,0.002074,78498,0.645401
caas-2node,mpi,1000000,8,1,blockcyclic,1024,-,0,3,0.025398,0.000019,0.019546,0.009857,0.011144,0.012810,0.000557,0.002065,78498,0.638375
caas-2node,mpi,1000000,8,1,wblock,1024,-,0,1,0.014848,0.000018,0.011693,0.009292,0.009988,0.001285,0.000000,0.001852,78498,0.623640
caas-2node,mpi,1000000,8,1,wblock,1024,-,0,2,0.023888,0.000016,0.011700,0.009416,0.010081,0.010222,0.000000,0.001950,78498,0.654866
caas-2node,mpi,1000000,8,1,wblock,1024,-,0,3,0.041551,0.000016,0.021170,0.009358,0.012406,0.028071,0.000000,0.001745,78498,0.642220
caas-2node,mpi,2000000,8,1,block,1024,-,0,1,0.052895,0.000020,0.035717,0.011681,0.026203,0.037575,0.000000,0.003618,148933,0.669041
caas-2node,mpi,2000000,8,1,block,1024,-,0,2,0.060060,0.000020,0.035650,0.011666,0.026231,0.045003,0.000000,0.003371,148933,0.675976
caas-2node,mpi,2000000,8,1,block,1024,-,0,3,0.077269,0.000019,0.065852,0.022864,0.033425,0.047943,0.000000,0.004622,148933,0.675027
caas-2node,mpi,2000000,8,1,cyclic,1024,-,0,1,0.063123,0.000016,0.040078,0.026123,0.029554,0.029850,0.003659,0.003415,148933,0.685402
caas-2node,mpi,2000000,8,1,cyclic,1024,-,0,2,0.040488,0.000019,0.026908,0.026254,0.026543,0.007131,0.003471,0.003531,148933,0.647600
caas-2node,mpi,2000000,8,1,cyclic,1024,-,0,3,0.064280,0.000015,0.051295,0.026159,0.029375,0.031166,0.003661,0.003246,148933,0.706776
caas-2node,mpi,2000000,8,1,blockcyclic,1024,-,0,1,0.045923,0.000008,0.026882,0.026012,0.026416,0.014550,0.001633,0.003566,148933,0.654587
caas-2node,mpi,2000000,8,1,blockcyclic,1024,-,0,2,0.039198,0.000032,0.027469,0.026226,0.026958,0.007561,0.001134,0.003718,148933,0.643294
caas-2node,mpi,2000000,8,1,blockcyclic,1024,-,0,3,0.060913,0.000017,0.052041,0.026096,0.029434,0.029914,0.001048,0.003467,148933,0.691206
caas-2node,mpi,2000000,8,1,wblock,1024,-,0,1,0.039467,0.000020,0.030346,0.025449,0.026763,0.005725,0.000000,0.003376,148933,0.662089
caas-2node,mpi,2000000,8,1,wblock,1024,-,0,2,0.041550,0.000015,0.031155,0.024837,0.027110,0.007409,0.000000,0.003847,148933,0.687329
caas-2node,mpi,2000000,8,1,wblock,1024,-,0,3,0.038530,0.000018,0.030326,0.024578,0.026169,0.004498,0.000000,0.003688,148933,0.629852
caas-2node,mpi,4000000,8,1,block,1024,-,0,1,0.106896,0.000017,0.094634,0.030280,0.069096,0.070722,0.000000,0.005876,283146,0.694170
caas-2node,mpi,4000000,8,1,block,1024,-,0,2,0.109683,0.000024,0.094687,0.030267,0.069144,0.073531,0.000000,0.005861,283146,0.712112
caas-2node,mpi,4000000,8,1,block,1024,-,0,3,0.107337,0.000015,0.095205,0.030240,0.069200,0.071266,0.000000,0.005817,283146,0.766591
caas-2node,mpi,4000000,8,1,cyclic,1024,-,0,1,0.088450,0.000016,0.069450,0.069050,0.069233,0.006940,0.006545,0.005799,283146,0.696933
caas-2node,mpi,4000000,8,1,cyclic,1024,-,0,2,0.139357,0.000019,0.119634,0.069083,0.076869,0.046586,0.006567,0.005887,283146,0.750393
caas-2node,mpi,4000000,8,1,cyclic,1024,-,0,3,0.092866,0.000017,0.072698,0.069141,0.070296,0.010726,0.007037,0.005946,283146,0.713721
caas-2node,mpi,4000000,8,1,blockcyclic,1024,-,0,1,0.123090,0.000017,0.108070,0.069003,0.075291,0.045427,0.002231,0.005846,283146,0.744811
caas-2node,mpi,4000000,8,1,blockcyclic,1024,-,0,2,0.085469,0.000016,0.069985,0.069077,0.069562,0.007064,0.002007,0.006831,283146,0.714946
caas-2node,mpi,4000000,8,1,blockcyclic,1024,-,0,3,0.085519,0.000033,0.070429,0.069082,0.069718,0.007874,0.001992,0.005802,283146,0.717929
caas-2node,mpi,4000000,8,1,wblock,1024,-,0,1,0.169780,0.000019,0.156587,0.066090,0.081018,0.005439,0.000000,0.007735,283146,0.820657
caas-2node,mpi,4000000,8,1,wblock,1024,-,0,2,0.091131,0.000015,0.080130,0.066075,0.069856,0.005099,0.000000,0.005887,283146,0.713643
caas-2node,mpi,4000000,8,1,wblock,1024,-,0,3,0.130106,0.000020,0.116405,0.066482,0.075010,0.006598,0.000000,0.007083,283146,1.970218
caas-2node,mpi,6000000,8,1,block,1024,-,0,1,0.188331,0.000016,0.170938,0.053093,0.122772,0.126964,0.000000,0.008259,412849,0.876276
caas-2node,mpi,6000000,8,1,block,1024,-,0,2,0.197862,0.000008,0.167814,0.053161,0.122328,0.136272,0.000000,0.008421,412849,0.855720
caas-2node,mpi,6000000,8,1,block,1024,-,0,3,0.188643,0.000018,0.172681,0.053048,0.122928,0.126669,0.000000,0.008908,412849,0.791169
caas-2node,mpi,6000000,8,1,cyclic,1024,-,0,1,0.157579,0.000015,0.123173,0.122257,0.122614,0.018352,0.008717,0.008239,412849,0.798079
caas-2node,mpi,6000000,8,1,cyclic,1024,-,0,2,0.147656,0.000016,0.122895,0.122234,0.122525,0.008476,0.008756,0.008175,412849,0.746230
caas-2node,mpi,6000000,8,1,cyclic,1024,-,0,3,0.158721,0.000020,0.124461,0.122270,0.122846,0.018962,0.008762,0.008170,412849,0.766160
caas-2node,mpi,6000000,8,1,blockcyclic,1024,-,0,1,0.211829,0.000020,0.192962,0.122340,0.132886,0.078897,0.002192,0.008350,412849,0.841537
caas-2node,mpi,6000000,8,1,blockcyclic,1024,-,0,2,0.146578,0.000021,0.123516,0.122655,0.123043,0.012096,0.002459,0.009345,412849,0.762634
caas-2node,mpi,6000000,8,1,blockcyclic,1024,-,0,3,0.169198,0.000025,0.124650,0.122517,0.123523,0.029758,0.003405,0.012449,412849,0.803498
caas-2node,mpi,6000000,8,1,wblock,1024,-,0,1,0.158315,0.000017,0.141023,0.115722,0.122854,0.007807,0.000000,0.009468,412849,0.806809
caas-2node,mpi,6000000,8,1,wblock,1024,-,0,2,0.191821,0.000010,0.162447,0.115525,0.128869,0.036750,0.000000,0.009250,412849,0.914358
caas-2node,mpi,6000000,8,1,wblock,1024,-,0,3,0.225725,0.000037,0.181553,0.115414,0.146869,0.043373,0.000000,0.012561,412849,1.908103
caas-2node,mpi,8000000,8,1,block,1024,-,0,1,0.319568,0.000042,0.295526,0.158094,0.213816,0.146713,0.000000,0.014719,539777,1.245910
caas-2node,mpi,8000000,8,1,block,1024,-,0,2,0.280708,0.000018,0.255908,0.079428,0.184516,0.189132,0.000000,0.012129,539777,0.883091
caas-2node,mpi,8000000,8,1,block,1024,-,0,3,0.290910,0.000021,0.256293,0.079293,0.185353,0.200307,0.000000,0.011290,539777,0.898266
caas-2node,mpi,8000000,8,1,cyclic,1024,-,0,1,0.220160,0.000018,0.185333,0.183796,0.184428,0.013407,0.011842,0.011096,539777,1.392301
caas-2node,mpi,8000000,8,1,cyclic,1024,-,0,2,0.217243,0.000024,0.184068,0.183611,0.183763,0.010538,0.011691,0.011233,539777,0.831666
caas-2node,mpi,8000000,8,1,cyclic,1024,-,0,3,0.218681,0.000029,0.183868,0.183603,0.183771,0.011878,0.011951,0.011220,539777,0.825159
caas-2node,mpi,8000000,8,1,blockcyclic,1024,-,0,1,0.207906,0.000016,0.184386,0.182953,0.183648,0.009545,0.003072,0.012320,539777,0.819343
caas-2node,mpi,8000000,8,1,blockcyclic,1024,-,0,2,0.206188,0.000015,0.184277,0.182968,0.183693,0.008626,0.003096,0.011482,539777,0.815481
caas-2node,mpi,8000000,8,1,blockcyclic,1024,-,0,3,0.212461,0.000015,0.184704,0.183433,0.184128,0.013909,0.003126,0.011205,539777,0.807307
caas-2node,mpi,8000000,8,1,wblock,1024,-,0,1,0.230645,0.000016,0.208600,0.175861,0.186096,0.010822,0.000000,0.011207,539777,0.832348
caas-2node,mpi,8000000,8,1,wblock,1024,-,0,2,0.227791,0.000017,0.208725,0.173387,0.183577,0.007659,0.000000,0.011390,539777,0.819146
caas-2node,mpi,8000000,8,1,wblock,1024,-,0,3,0.228218,0.000007,0.208689,0.173541,0.183658,0.008118,0.000000,0.011404,539777,0.822421
caas-2node,mpi,10000000,8,1,block,1024,-,0,1,0.374010,0.000018,0.346310,0.109223,0.252116,0.251248,0.000000,0.013520,664579,0.970574
caas-2node,mpi,10000000,8,1,block,1024,-,0,2,0.371166,0.000016,0.346612,0.108353,0.252248,0.248914,0.000000,0.013883,664579,0.970572
