site,impl,n,procs,threads,dist,chunk,run,rank,compute,count
caas-2node,mpi,1000000,8,1,block,1024,1,0,0.008656,11734
caas-2node,mpi,1000000,8,1,block,1024,1,1,0.007214,10310
caas-2node,mpi,1000000,8,1,block,1024,1,2,0.008747,9860
caas-2node,mpi,1000000,8,1,block,1024,1,3,0.009985,9634
caas-2node,mpi,1000000,8,1,block,1024,1,4,0.020314,9448
caas-2node,mpi,1000000,8,1,block,1024,1,5,0.012224,9252
caas-2node,mpi,1000000,8,1,block,1024,1,6,0.012821,9210
caas-2node,mpi,1000000,8,1,block,1024,1,7,0.013480,9050
caas-2node,mpi,1000000,8,1,block,1024,2,0,0.004490,11734
caas-2node,mpi,1000000,8,1,block,1024,2,1,0.007152,10310
caas-2node,mpi,1000000,8,1,block,1024,2,2,0.008922,9860
caas-2node,mpi,1000000,8,1,block,1024,2,3,0.010152,9634
caas-2node,mpi,1000000,8,1,block,1024,2,4,0.011120,9448
caas-2node,mpi,1000000,8,1,block,1024,2,5,0.011995,9252
caas-2node,mpi,1000000,8,1,block,1024,2,6,0.013110,9210
caas-2node,mpi,1000000,8,1,block,1024,2,7,0.013551,9050
caas-2node,mpi,1000000,8,1,block,1024,3,0,0.004576,11734
caas-2node,mpi,1000000,8,1,block,1024,3,1,0.010580,10310
caas-2node,mpi,1000000,8,1,block,1024,3,2,0.008722,9860
caas-2node,mpi,1000000,8,1,block,1024,3,3,0.009995,9634
caas-2node,mpi,1000000,8,1,block,1024,3,4,0.011014,9448
caas-2node,mpi,1000000,8,1,block,1024,3,5,0.011966,9252
caas-2node,mpi,1000000,8,1,block,1024,3,6,0.012781,9210
caas-2node,mpi,1000000,8,1,block,1024,3,7,0.025962,9050
caas-2node,mpi,1000000,8,1,cyclic,1024,1,0,0.010002,9839
caas-2node,mpi,1000000,8,1,cyclic,1024,1,1,0.019127,9816
caas-2node,mpi,1000000,8,1,cyclic,1024,1,2,0.009979,9832
caas-2node,mpi,1000000,8,1,cyclic,1024,1,3,0.019172,9791
caas-2node,mpi,1000000,8,1,cyclic,1024,1,4,0.010229,9815
caas-2node,mpi,1000000,8,1,cyclic,1024,1,5,0.009975,9807
