site,impl,n,procs,threads,dist,chunk,sched,sched_chunk,run,total,bcast,comp_max,comp_min,comp_avg,gather,merge,write,count,wall
ryzen7535hs,serial,200000,1,1,-,0,-,0,1,0.018816,,0.011319,,,,,,17984,
ryzen7535hs,pthread,200000,1,8,-,0,-,0,1,0.015013,,0.006452,,,,,,17984,
ryzen7535hs,openmp,200000,1,8,-,0,static,1,1,0.029075,,0.015489,,,,,,17984,
ryzen7535hs,mpi,200000,8,1,blockcyclic,1024,-,0,1,0.005081,0.000007,0.002641,0.001402,0.001984,0.000663,0.000673,0.001096,17984,
ryzen7535hs,hybrid,200000,4,2,blockcyclic,1024,dynamic,64,1,0.017286,0.000010,0.012562,0.005194,0.008079,0.010033,0.000738,0.001312,17984,
ryzen7535hs,serial,200000,1,1,-,0,-,0,2,0.019083,,0.011456,,,,,,17984,
ryzen7535hs,pthread,200000,1,8,-,0,-,0,2,0.014050,,0.006301,,,,,,17984,
ryzen7535hs,openmp,200000,1,8,-,0,static,1,2,0.026125,,0.016417,,,,,,17984,
ryzen7535hs,mpi,200000,8,1,blockcyclic,1024,-,0,2,0.013851,0.000007,0.003434,0.001444,0.001976,0.010739,0.000484,0.000981,17984,
ryzen7535hs,hybrid,200000,4,2,blockcyclic,1024,dynamic,64,2,0.012763,0.000010,0.010371,0.004078,0.006295,0.006711,0.000502,0.001461,17984,
ryzen7535hs,serial,200000,1,1,-,0,-,0,3,0.020034,,0.011507,,,,,,17984,
ryzen7535hs,pthread,200000,1,8,-,0,-,0,3,0.014484,,0.006517,,,,,,17984,
ryzen7535hs,openmp,200000,1,8,-,0,static,1,3,0.036328,,0.020967,,,,,,17984,
ryzen7535hs,mpi,200000,8,1,blockcyclic,1024,-,0,3,0.014397,0.000008,0.011658,0.001953,0.004430,0.009852,0.000707,0.001385,17984,
ryzen7535hs,hybrid,200000,4,2,blockcyclic,1024,dynamic,64,3,0.011880,0.000015,0.009614,0.005129,0.006615,0.003528,0.000533,0.001364,17984,
ryzen7535hs,serial,400000,1,1,-,0,-,0,1,0.041218,,0.031323,,,,,,33860,
ryzen7535hs,pthread,400000,1,8,-,0,-,0,1,0.026175,,0.016011,,,,,,33860,
ryzen7535hs,openmp,400000,1,8,-,0,static,1,1,0.029427,,0.016899,,,,,,33860,
ryzen7535hs,mpi,400000,8,1,blockcyclic,1024,-,0,1,0.022161,0.000013,0.013906,0.003753,0.006453,0.014710,0.001040,0.002461,33860,
ryzen7535hs,hybrid,400000,4,2,blockcyclic,1024,dynamic,64,1,0.022426,0.000012,0.018893,0.010577,0.014935,0.008828,0.000791,0.002217,33860,
ryzen7535hs,serial,400000,1,1,-,0,-,0,2,0.039324,,0.030389,,,,,,33860,
ryzen7535hs,pthread,400000,1,8,-,0,-,0,2,0.029555,,0.019160,,,,,,33860,
ryzen7535hs,openmp,400000,1,8,-,0,static,1,2,0.040756,,0.025184,,,,,,33860,
ryzen7535hs,mpi,400000,8,1,blockcyclic,1024,-,0,2,0.017025,0.000007,0.012632,0.005966,0.007384,0.006701,0.001102,0.002441,33860,
ryzen7535hs,hybrid,400000,4,2,blockcyclic,1024,dynamic,64,2,0.021791,0.000009,0.018176,0.007793,0.011422,0.000525,0.000761,0.002321,33860,
ryzen7535hs,serial,400000,1,1,-,0,-,0,3,0.043993,,0.031349,,,,,,33860,
ryzen7535hs,pthread,400000,1,8,-,0,-,0,3,0.021789,,0.011598,,,,,,33860,
ryzen7535hs,openmp,400000,1,8,-,0,static,1,3,0.024156,,0.011505,,,,,,33860,
ryzen7535hs,mpi,400000,8,1,blockcyclic,1024,-,0,3,0.017340,0.000007,0.009153,0.003813,0.007227,0.005775,0.000917,0.001952,33860,
ryzen7535hs,hybrid,400000,4,2,blockcyclic,1024,dynamic,64,3,0.023816,0.000010,0.020396,0.010240,0.013663,0.008501,0.000804,0.002124,33860,
ryzen7535hs,serial,600000,1,1,-,0,-,0,1,0.063483,,0.052567,,,,,,49098,
ryzen7535hs,pthread,600000,1,8,-,0,-,0,1,0.032533,,0.020942,,,,,,49098,
ryzen7535hs,openmp,600000,1,8,-,0,static,1,1,0.037333,,0.021886,,,,,,49098,
ryzen7535hs,mpi,600000,8,1,blockcyclic,1024,-,0,1,0.030745,0.000013,0.025247,0.011775,0.016266,0.012310,0.001248,0.002471,49098,
ryzen7535hs,hybrid,600000,4,2,blockcyclic,1024,dynamic,64,1,0.035015,0.000010,0.029862,0.013927,0.022246,0.001019,0.001612,0.002512,49098,
ryzen7535hs,serial,600000,1,1,-,0,-,0,2,0.063583,,0.052190,,,,,,49098,
ryzen7535hs,pthread,600000,1,8,-,0,-,0,2,0.043053,,0.030173,,,,,,49098,
ryzen7535hs,openmp,600000,1,8,-,0,static,1,2,0.042434,,0.025295,,,,,,49098,
ryzen7535hs,mpi,600000,8,1,blockcyclic,1024,-,0,2,0.025789,0.000010,0.016128,0.007775,0.012293,0.010231,0.001212,0.002832,49098,
ryzen7535hs,hybrid,600000,4,2,blockcyclic,1024,dynamic,64,2,0.034533,0.000012,0.028414,0.012393,0.023655,0.002391,0.001461,0.003588,49098,
ryzen7535hs,serial,600000,1,1,-,0,-,0,3,0.045387,,0.036699,,,,,,49098,
