site,impl,n,procs,threads,dist,chunk,run,rank,compute,count
ryzen7535hs,mpi,20000000,1,1,block,1024,1,0,7.500034,1270607
ryzen7535hs,mpi,20000000,2,1,block,1024,1,0,3.076967,664579
ryzen7535hs,mpi,20000000,2,1,block,1024,1,1,4.935715,606028
ryzen7535hs,mpi,20000000,4,1,block,1024,1,0,1.267602,348513
ryzen7535hs,mpi,20000000,4,1,block,1024,1,1,1.948051,316066
ryzen7535hs,mpi,20000000,4,1,block,1024,1,2,2.398248,306125
ryzen7535hs,mpi,20000000,4,1,block,1024,1,3,2.674326,299903
ryzen7535hs,mpi,20000000,8,1,block,1024,1,0,0.558801,183072
ryzen7535hs,mpi,20000000,8,1,block,1024,1,1,0.969884,165441
ryzen7535hs,mpi,20000000,8,1,block,1024,1,2,1.169293,159748
ryzen7535hs,mpi,20000000,8,1,block,1024,1,3,1.374187,156318
ryzen7535hs,mpi,20000000,8,1,block,1024,1,4,1.485781,154124
ryzen7535hs,mpi,20000000,8,1,block,1024,1,5,1.661359,152001
ryzen7535hs,mpi,20000000,8,1,block,1024,1,6,1.763389,150685
ryzen7535hs,mpi,20000000,8,1,block,1024,1,7,1.817112,149218
ryzen7535hs,mpi,20000000,1,1,cyclic,1024,1,0,7.293165,1270607
ryzen7535hs,mpi,20000000,2,1,cyclic,1024,1,0,3.894962,635437
ryzen7535hs,mpi,20000000,2,1,cyclic,1024,1,1,3.907217,635170
ryzen7535hs,mpi,20000000,4,1,cyclic,1024,1,0,2.147248,317769
ryzen7535hs,mpi,20000000,4,1,cyclic,1024,1,1,2.257284,317693
ryzen7535hs,mpi,20000000,4,1,cyclic,1024,1,2,2.234034,317668
ryzen7535hs,mpi,20000000,4,1,cyclic,1024,1,3,2.264127,317477
ryzen7535hs,mpi,20000000,8,1,cyclic,1024,1,0,1.391113,158948
ryzen7535hs,mpi,20000000,8,1,cyclic,1024,1,1,1.253409,158891
ryzen7535hs,mpi,20000000,8,1,cyclic,1024,1,2,1.303309,158835
ryzen7535hs,mpi,20000000,8,1,cyclic,1024,1,3,1.333830,158781
ryzen7535hs,mpi,20000000,8,1,cyclic,1024,1,4,1.384742,158821
ryzen7535hs,mpi,20000000,8,1,cyclic,1024,1,5,1.308932,158802
ryzen7535hs,mpi,20000000,8,1,cyclic,1024,1,6,1.315821,158833
ryzen7535hs,mpi,20000000,8,1,cyclic,1024,1,7,1.328285,158696
ryzen7535hs,mpi,20000000,1,1,blockcyclic,1024,1,0,7.332715,1270607
ryzen7535hs,mpi,20000000,2,1,blockcyclic,1024,1,0,4.042089,635882
ryzen7535hs,mpi,20000000,2,1,blockcyclic,1024,1,1,4.037427,634725
ryzen7535hs,mpi,20000000,4,1,blockcyclic,1024,1,0,2.122875,318259
